"Compare","Compare"
"Products limit","Products limit"
"Maximum","Maximum"
"Maximum number of products in the compare list","Maximum number of products in the compare list"
"You can not compare more than %s products at once. Remove one and try again.","You can not compare more than %s products at once. Remove one and try again."
